strategy,param_rr_ratio,param_delta_thresh,param_volume_mult,total_trades,win_rate,profit_factor,expectancy,max_drawdown,max_drawdown_pct,avg_mfe,avg_mae,param_lookback,param_delta_min_change
Absorcion Long,2.5,0.5,1.5,35,0.14285714285714285,0.20431942511851986,-317.1198571428565,11661.410000000003,2074.1904787313524,392.4828571428566,1214.5522857142857,,
Absorcion Long,2.5,0.5,1.8,35,0.14285714285714285,0.20431942511851986,-317.1198571428565,11661.410000000003,2074.1904787313524,392.4828571428566,1214.5522857142857,,
Absorcion Long,2.5,0.5,2.0,35,0.14285714285714285,0.20431942511851986,-317.1198571428565,11661.410000000003,2074.1904787313524,392.4828571428566,1214.5522857142857,,
Absorcion Short,1.5,0.5,1.5,33,0.30303030303030304,0.48345530568773093,-142.7043939393933,4580.9299999999785,0.0,478.19484848484893,826.7445454545441,,
Absorcion Short,1.5,0.5,1.8,33,0.30303030303030304,0.48345530568773093,-142.7043939393933,4580.9299999999785,0.0,478.19484848484893,826.7445454545441,,
Absorcion Short,1.5,0.5,2.0,33,0.30303030303030304,0.48345530568773093,-142.7043939393933,4580.9299999999785,0.0,478.19484848484893,826.7445454545441,,
Absorcion Short,1.5,0.54,1.5,25,0.32,0.5085997607175018,-135.04739999999856,3103.884999999962,0.0,462.897600000001,853.1147999999995,,
Absorcion Short,1.5,0.54,1.8,25,0.32,0.5085997607175018,-135.04739999999856,3103.884999999962,0.0,462.897600000001,853.1147999999995,,
Absorcion Short,1.5,0.54,2.0,25,0.32,0.5085997607175018,-135.04739999999856,3103.884999999962,0.0,462.897600000001,853.1147999999995,,
Absorcion Short,1.5,0.6,1.5,11,0.18181818181818182,0.23016508523941787,-168.68272727272543,1620.12999999999,0.0,262.6300000000007,626.9609090909097,,
Absorcion Short,1.5,0.6,1.8,11,0.18181818181818182,0.23016508523941787,-168.68272727272543,1620.12999999999,0.0,262.6300000000007,626.9609090909097,,
Absorcion Short,1.5,0.6,2.0,11,0.18181818181818182,0.23016508523941787,-168.68272727272543,1620.12999999999,0.0,262.6300000000007,626.9609090909097,,
Absorcion Short,2.0,0.5,1.5,33,0.2727272727272727,0.49077815579922257,-146.90787878787833,4603.4399999999805,0.0,478.19484848484893,826.7445454545441,,
Absorcion Short,2.0,0.5,1.8,33,0.2727272727272727,0.49077815579922257,-146.90787878787833,4603.4399999999805,0.0,478.19484848484893,826.7445454545441,,
Absorcion Short,2.0,0.5,2.0,33,0.2727272727272727,0.49077815579922257,-146.90787878787833,4603.4399999999805,0.0,478.19484848484893,826.7445454545441,,
Absorcion Short,2.0,0.54,1.5,25,0.28,0.501926712079243,-144.9203999999989,3350.70999999997,0.0,462.897600000001,853.1147999999995,,
Absorcion Short,2.0,0.54,1.8,25,0.28,0.501926712079243,-144.9203999999989,3350.70999999997,0.0,462.897600000001,853.1147999999995,,
Absorcion Short,2.0,0.54,2.0,25,0.28,0.501926712079243,-144.9203999999989,3350.70999999997,0.0,462.897600000001,853.1147999999995,,
Absorcion Short,2.0,0.6,1.5,11,0.18181818181818182,0.28405531330515327,-156.87454545454366,1620.12999999999,0.0,262.6300000000007,626.9609090909097,,
Absorcion Short,2.0,0.6,1.8,11,0.18181818181818182,0.28405531330515327,-156.87454545454366,1620.12999999999,0.0,262.6300000000007,626.9609090909097,,
Absorcion Short,2.0,0.6,2.0,11,0.18181818181818182,0.28405531330515327,-156.87454545454366,1620.12999999999,0.0,262.6300000000007,626.9609090909097,,
Absorcion Short,2.5,0.5,1.5,33,0.2727272727272727,0.4686906861421812,-153.28000000000017,4813.720000000001,0.0,478.19484848484893,826.7445454545441,,
Absorcion Short,2.5,0.5,1.8,33,0.2727272727272727,0.4686906861421812,-153.28000000000017,4813.720000000001,0.0,478.19484848484893,826.7445454545441,,
Absorcion Short,2.5,0.5,2.0,33,0.2727272727272727,0.4686906861421812,-153.28000000000017,4813.720000000001,0.0,478.19484848484893,826.7445454545441,,
Absorcion Short,2.5,0.54,1.5,25,0.28,0.45815604786879327,-157.65599999999975,3669.0999999999913,0.0,462.897600000001,853.1147999999995,,
Absorcion Short,2.5,0.54,1.8,25,0.28,0.45815604786879327,-157.65599999999975,3669.0999999999913,0.0,462.897600000001,853.1147999999995,,
Absorcion Short,2.5,0.54,2.0,25,0.28,0.45815604786879327,-157.65599999999975,3669.0999999999913,0.0,462.897600000001,853.1147999999995,,
Absorcion Short,2.5,0.6,1.5,11,0.18181818181818182,0.3379455413708886,-145.06636363636193,1620.12999999999,6639.877049177911,262.6300000000007,626.9609090909097,,
Absorcion Short,2.5,0.6,1.8,11,0.18181818181818182,0.3379455413708886,-145.06636363636193,1620.12999999999,6639.877049177911,262.6300000000007,626.9609090909097,,
Absorcion Short,2.5,0.6,2.0,11,0.18181818181818182,0.3379455413708886,-145.06636363636193,1620.12999999999,6639.877049177911,262.6300000000007,626.9609090909097,,
Delta Divergence,1.5,,,1869,0.22204387372926698,0.4357161072362572,-113.9650695559123,212938.46500000037,0.0,567.8556607811664,772.9213162118781,15.0,3.0
Delta Divergence,1.5,,,1787,0.22048125349748182,0.4316659566586507,-115.83622271964191,206937.08000000048,0.0,569.9127532176834,789.4548852825967,15.0,5.0
Delta Divergence,1.5,,,1561,0.21973094170403587,0.426672700097374,-120.88051889814236,188632.24000000063,0.0,574.2016463805255,808.008821268418,15.0,10.0
Delta Divergence,1.5,,,2221,0.22377307519135525,0.4400467222319768,-109.4220306168392,243570.7200000002,0.0,592.1022782530391,749.4266906798742,20.0,3.0
Delta Divergence,1.5,,,2110,0.22559241706161137,0.4426930150056745,-109.72437677725111,232062.82500000024,0.0,599.5830521327015,766.5780758293843,20.0,5.0
Delta Divergence,1.5,,,1853,0.21262817053426875,0.4191690013334791,-118.38116567728007,219904.6900000004,0.0,599.0783702104696,783.6938586076636,20.0,10.0
Delta Divergence,1.5,,,2680,0.2208955223880597,0.39518926741261146,-124.666901119403,335540.6249999998,51030.078246788995,579.2058619402985,813.3427425373137,30.0,3.0
Delta Divergence,1.5,,,2530,0.22332015810276679,0.40178259366743746,-124.95301778656132,317564.4649999999,48296.20704601623,597.6036442687747,834.6073122529648,30.0,5.0
Delta Divergence,1.5,,,2242,0.2136485280999108,0.3842946507958467,-131.5211931311331,295698.3700000003,567995.3323089003,598.8333987511152,844.0196743978594,30.0,10.0
Delta Divergence,2.0,,,1869,0.1947565543071161,0.4719249573142116,-109.3948956661316,204396.80999999994,0.0,567.8556607811664,772.9213162118781,15.0,3.0
Delta Divergence,2.0,,,1787,0.1919418019026301,0.46492516054676136,-111.96401790710694,200017.45000000007,0.0,569.9127532176834,789.4548852825967,15.0,5.0
Delta Divergence,2.0,,,1561,0.18962203715566944,0.4562016521718607,-117.6547021140296,183596.74000000028,0.0,574.2016463805255,808.008821268418,15.0,10.0
Delta Divergence,2.0,,,2221,0.19315623592976136,0.46699839138348564,-107.54504727600182,239712.7100000002,0.0,592.1022782530391,749.4266906798742,20.0,3.0
Delta Divergence,2.0,,,2110,0.1933649289099526,0.46706104367245105,-108.4943412322275,229778.2200000001,0.0,599.5830521327015,766.5780758293843,20.0,5.0
Delta Divergence,2.0,,,1853,0.18240690771721532,0.44463590659126834,-116.62767943874802,216966.25000000017,0.0,599.0783702104696,783.6938586076636,20.0,10.0
Delta Divergence,2.0,,,2680,0.1873134328358209,0.4096883448250922,-125.78674626865683,339135.42000000045,38205.55392830766,579.2058619402985,813.3427425373137,30.0,3.0
Delta Divergence,2.0,,,2530,0.18853754940711462,0.41462355405352286,-126.53858893280648,322169.5700000007,36294.25343036921,597.6036442687747,834.6073122529648,30.0,5.0
Delta Divergence,2.0,,,2242,0.17975022301516502,0.3959712982596256,-133.21741748438907,299739.1200000007,0.0,598.8333987511152,844.0196743978594,30.0,10.0
